peakG,minG,variance,postVariance,orientationChange,lowMotionRatio,durationMs,label
1.18,0.82,0.065,0.041,0.08,0.42,3120,normal
1.72,0.61,0.210,0.152,0.21,0.18,3440,normal
2.21,0.58,0.322,0.208,0.28,0.14,3520,normal
3.48,0.66,0.491,0.221,0.24,0.19,3520,normal
3.10,0.51,0.352,0.181,0.31,0.26,3680,normal
2.83,0.73,0.287,0.119,0.18,0.31,3360,normal
1.05,0.96,0.002,0.001,0.05,0.77,2560,normal
1.29,0.86,0.029,0.018,0.12,0.62,2880,normal
3.92,0.22,0.361,0.009,0.78,0.71,3760,fall
3.55,0.31,0.298,0.015,0.66,0.68,3920,fall
2.91,0.18,0.251,0.021,0.59,0.74,3600,fall
4.12,0.29,0.423,0.011,0.91,0.63,4080,fall
2.69,0.41,0.198,0.032,0.51,0.65,3520,fall
3.22,0.37,0.277,0.018,0.72,0.58,3840,fall
1.01,0.98,0.001,0.0002,0.03,0.96,4480,immobility
1.03,0.97,0.003,0.0004,0.04,0.93,5200,immobility
1.06,0.95,0.006,0.0011,0.08,0.91,6080,immobility
1.02,0.99,0.0008,0.0001,0.02,0.97,7200,immobility
1.12,0.93,0.011,0.003,0.11,0.88,4160,immobility
1.04,0.98,0.002,0.0005,0.05,0.95,4800,immobility
